Item Id,SKU,Size,Style,Brand,Size Type,Sleeve Type,Neckline,Sleeve Length,Pattern,Material,Type,Accents,Color,Theme,Features,Fabric Type,Occasion,Department,Closure,Character,Strap Type,Season,Fit,Personalize,Country/Region of Manufacture,Vintage,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"264842121047","301943","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Interloper","One Size","Sleeveless","Off the Shoulder","Sleeveless","Solid","Nylon","Strapless Bandeau","seamless","Dark Rust","Modern","All Seasons,Seamless","Knit","Casual,Party/Cocktail,Travel","Women","","Strapless Bandeau","Strapless","","Slim","","","","","","","Tight-Fitting-Sexy-Strapless-Bandeau","",
"254698017480","301942","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Interloper","One Size","","Off the Shoulder","Sleeveless","Solid","Nylon","Tube Top","","Red","Modern","","","","Women","","","Strapless","","Slim","","","No","","","","Tight-Fitting-Sexy-Strapless-Bandeau","",
"255549290392","308157",,"Cropped","Unbranded","Regular","","Off the Shoulder","Sleeveless","Solid","Cotton Blend","Women's Top","Built-In Bra","Mint","crop top","Built-In Bra,Collarless","","Casual","Women","","Women's Tops","Strapless","Spring,Summer","Regular","","","No","","","","","",
"255549290392","308155","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255549290392","308154","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255549290392","308153","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255549290392","308156","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254698017693","301944","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Interloper","One Size","sleeveless","Off the Shoulder","Sleeveless","Solid","Nylon","Strapless Bandeau","Strapless Bandeau","White","Modern","All Seasons,Seamless","","","Women","","Strapless Bandeau","Strapless","","Slim","","","","","","","Tight-Fitting-Sexy-Strapless-Bandeau","",
"255008785319","302008",,"Basic","Generic","Regular","Short Sleeve","Round Neck","Short Sleeve","Solid","100% Cotton","T-Shirt","Solid Plain Tshirt",,"Basic","All Seasons","Knit","Casual","Women","","Regular T-Shirt for Women","","","Regular","","","No","","","","","",
"255008785319","","S",,,,,,,,,,,"Red",,,,,,,,,,,,,,,,,,,
