Item Id,SKU,Sensor Type,Style,Installation Area,Type,Brand,Color,Power Source,Number of Lights,Light Color,Lighting Technology,Features,Finish,Character,Number of Settings,Material,Mounting,Room,Size,Theme,Energy Star,Control Style,Item Diameter,Country/Region of Manufacture,Voltage,IP Rating,Year Manufactured,Bulb Shape Code,LED Chip Code,Character Family,Power Consumption,Smart Home Compatibility,Manufacturer Warranty,Assembly Required,Amperage,Color Temperature,MPN,EC Range,Model,California Prop 65 Warning,Bundle Description,Custom Bundle,Bulb Life Hours,Item Height,Item Length,Item Weight,Item Width,Labels & Certifications,Lumens,Product Line,Required Tools,Smart Home Protocol,
"255444426061","DBMRL9513","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-13-VG","","","","","","","","","","","","","","","",
"265603525289","DBMRL9515","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-13-W","","","","","","","","","","","","","","","",
"265603573815","DBMRL9524","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-26-B","","","","","","","","","","","","","","","",
"255444481878","DBMRL9523","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-26-BZ","","","","","","","","","","","","","","","",
"265603605921","DBMRL9522","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-26-VG","","","","","","","","","","","","","","","",
"255444451599","DBMRL9521","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-26-W","","","","","","","","","","","","","","","",
"265603563410","DBMRL9516","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-LED16-B","","","","","","","","","","","","","","","",
"265603550258","DBMRL9525","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","B","","","","","","","","","","","","","","","","GM105-LED16-BZ","","","","","","","","","","","","","","","",
"265603557257","DBMRL9530","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-LED16-VG","","","","","","","","","","","","","","","",
"265600132534","DBMRL9529","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM105-LED16-W","","","","","","","","","","","","","","","",
"255444497548","DBMRL9528","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-13-B","","","","","","","","","","","","","","","",
"255440708133","DBMRL9527","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-13-BZ","","","","","","","","","","","","","","","",
"265603573205","DBMRL9526","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-13-VG","","","","","","","","","","","","","","","",
"265603544552","DBMRL9531","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-13-W","","","","","","","","","","","","","","","",
"265603632839","DBMRL9536","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-26-B","","","","","","","","","","","","","","","",
"255440712634","DBMRL9535","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-26-BZ","","","","","","","","","","","","","","","",
"255444412312","DBMRL9534","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-26-VG","","","","","","","","","","","","","","","",
"265600133029","DBMRL9533","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-26-W","","","","","","","","","","","","","","","",
"265603599566","DBMRL9532","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","Incandescent","","Bronze","","","Bronze","","","","","","","","","","","","","","","","","","","","","GM106-BZ","","","","","","","","","","","","","","","",
"265600135500","DBMRL9542","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-LED16-B","","","","","","","","","","","","","","","",
"265600141927","DBMRL9541","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","B","","","","","","","","","","","","","","","","GM106-LED16-BZ","","","","","","","","","","","","","","","",
"255444398698","DBMRL9540","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-LED16-VG","","","","","","","","","","","","","","","",
"265603573901","DBMRL9539","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM106-LED16-W","","","","","","","","","","","","","","","",
"255440710098","DBMRL9537","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","GM111-B","","","","","","","","","","","","","","","",
"255444532171","DBMRL9538","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM111-VG","","","","","","","","","","","","","","","",
"255440699504","DBMRL9543","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","GM111-W","","","","","","","","","","","","","","","",
"255444480734","DBMRL9551","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","B","","","","","","","","","","","","","","","","GM115-LED16-B","","","","","","","","","","","","","","","",
"255444428866","DBMRL9550","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM115-LED16-VG","","","","","","","","","","","","","","","",
"255444501971","DBMRL9705","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-B","","","","","","","","","","","","","","","",
"255444437721","DBMRL9710","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-B-FROST","","","","","","","","","","","","","","","",
"265603585717","DBMRL9715","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-BZ","","","","","","","","","","","","","","","",
"255440708507","DBMRL9714","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-BZ-FROST","","","","","","","","","","","","","","","",
"265603612688","DBMRL9713","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-VG","","","","","","","","","","","","","","","",
"255444446375","DBMRL9712","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-VG-FROST","","","","","","","","","","","","","","","",
"265600130275","DBMRL9711","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-W","","","","","","","","","","","","","","","",
"255444468479","DBMRL9716","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM134-W-FROST","","","","","","","","","","","","","","","",
"265603532483","DBMRL9721","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-B-FROST","","","","","","","","","","","","","","","",
"265603570679","DBMRL9719","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-BZ-FROST","","","","","","","","","","","","","","","",
"255440711750","DBMRL9718","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-B","","","","","","","","","","","","","","","",
"255444412072","DBMRL9717","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-B-FROST","","","","","","","","","","","","","","","",
"265603614690","DBMRL9722","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-BZ","","","","","","","","","","","","","","","",
"255444470998","DBMRL9727","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-BZ-FROST","","","","","","","","","","","","","","","",
"255440712762","DBMRL9726","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-VG","","","","","","","","","","","","","","","",
"255440703492","DBMRL9725","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-VG-FROST","","","","","","","","","","","","","","","",
"255444504951","DBMRL9724","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-W","","","","","","","","","","","","","","","",
"255444480372","DBMRL9723","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","GM135-LED16-W-FROST","","","","","","","","","","","","","","","",
"255444508971","DBMRL9733","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","GM187-B","","","","","","","","","","","","","","","",
"265603535409","DBMRL9732","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM187-VG","","","","","","","","","","","","","","","",
"265600129531","DBMRL9731","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","GM187-W","","","","","","","","","","","","","","","",
"265603587974","DBMRL9730","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","GM188-B","","","","","","","","","","","","","","","",
"265603596209","DBMRL9729","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM188-VG","","","","","","","","","","","","","","","",
"255444405774","DBMRL9728","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","GM188-W","","","","","","","","","","","","","","","",
"255440711871","DBMRL9734","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","GM189-B","","","","","","","","","","","","","","","",
"255444504412","DBMRL9739","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM189-VG","","","","","","","","","","","","","","","",
"255444511594","DBMRL9738","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","GM189-W","","","","","","","","","","","","","","","",
"265603625817","DBMRL9735","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM210-LED16-VG","","","","","","","","","","","","","","","",
"255444505807","DBMRL9737","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","LED","","","","","","","","Large","","","","","","","","","","","","","","","","","","GM211-LED16-B","","","","","","","","","","","","","","","",
"265600132258","DBMRL9736","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","","","","","","","","","","GM211-LED16-BZ","","","","","","","","","","","","","","","",
"255444405849","DBMRL9740","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","","","","","","","","","","GM211-LED16-DS","","","","","","","","","","","","","","","",
"265603526195","DBMRL9745","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","","","","","","","","","","GM211-LED16-VG","","","","","","","","","","","","","","","",
"255444501197","DBMRL3519","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","Glass","","","","","","","","","","","","","","","","","","","","","GM235-B/FROST","","","","","","","","","","","","","","","",
"255444514445","DBMRL8281","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM245-LED16-VG","","","","","","","","","","","","","","","",
"265603538016","DBMRL8280","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM245-LED16-W","","","","","","","","","","","","","","","",
"265600131514","DBMRL8279","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM246-B","","","","","","","","","","","","","","","",
"255444414720","DBMRL8278","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM246-BZ","","","","","","","","","","","","","","","",
"265603586555","DBMRL8287","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM247-B","","","","","","","","","","","","","","","",
"255440710560","DBMRL8286","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Small","","","","","","","","","","","","","","","","","","GM247-BZ","","","","","","","","","","","","","","","",
