Item Id,SKU,Brand,Type,Suitable For,Features,Items included,Number of Batteries,Number of User Codes,Number in Pack,Material,Shape,Color,Mounting,Battery Size,Finish,Extension Length,Closing Type,Item Width,Center-to-Center Measurement,Battery Required,Fixings Supplied,Item Height,Item Length,Item Depth,Country/Region of Manufacture,Item Diameter,Door Handing,Smart Home Compatibility,Smart Home Protocol,Load Capacity,Core Type,MPN,Model,ANSI Grade,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Weight,Manufacturer Warranty,
"265644593109","AGVI1351","Agave Ironworks","Furniture & Decor","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","RH001-6-08","","","","","","","",
"255488723293","AGVI1320","Agave Ironworks","Furniture & Decor","","","Hardware","7","7","7","","","Black","","","","","","","","","","","","","","","","","","","","RH001-7-01","","","","","","","",
"255476910676","AGVI1321","Agave Ironworks","Furniture & Decor","","","Hardware","7","7","7","","","","","","","","","","","","","","","","","","","","","","","RH001-7-04","","","","","","","",
"265639784494","AGVI1352","Agave Ironworks","Furniture & Decor","","","","7","7","7","","","","","","","","","","","","","","","","","","","","","","","RH001-7-08","","","","","","","",
"265639553346","AGVI267","Agave Ironworks","Furniture & Decor","","","Hardware","5","5","5","","","","","","","","","","","","","","","","","","","","","","","RH003-5-01","","","","","","","",
"265644566553","AGVI268","Agave Ironworks","Furniture & Decor","","","Hardware","5","5","5","","","","","","","","","","","","","","","","","","","","","","","RH003-5-04","","","","","","","",
"255483858823","AGVI269","Agave Ironworks","Furniture & Decor","","","Hardware","6","6","6","","","","","","","","","","","","","","","","","","","","","","","RH003-6-01","","","","","","","",
"265644527659","AGVI270","Agave Ironworks","Furniture & Decor","","","Hardware","6","6","6","","","","","","","","","","","","","","","","","","","","","","","RH003-6-04","","","","","","","",
"255488692886","AGVI1322","Agave Ironworks","Furniture & Decor","","","Hardware","7","7","7","","","","","","","","","","","","","","","","","","","","","","","RH003-7-01","","","","","","","",
"255483766814","AGVI1323","Agave Ironworks","Furniture & Decor","","","Hardware","7","7","7","","","","","","","","","","","","","","","","","","","","","","","RH003-7-04","","","","","","","",
"255483905493","AGVI1431","Agave Ironworks","Furniture & Decor","Barn Door","Exterior","","5","5","5","","","","","","","","","","","","","","","","","","","","","","","SS001-5-10","","","","","","","",
"255488769138","AGVI1432","Agave Ironworks","Furniture & Decor","Barn Door","Exterior","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","SS001-6-10","","","","","","","",
"265639698765","AGVI1433","Agave Ironworks","Furniture & Decor","Barn Door","Exterior","","7","7","7","","","","","","","","","","","","","","","","","","","","","","","SS001-7-10","","","","","","","",
"255488819249","TPNTD236400","Alarm Lock","Furniture & Decor","","Alarm","Alarm","","","","","","","","","","","","","","","","","","","","","","","","","","ETDL27S1G26DV99","","","","","","","",
"265639812664","ALKO3451","ALEKO","Furniture & Decor","","","Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","SLIDEKITVTRACK-UNB","","","","","","","",
"255483906325","ZX9TPNTD237857","PatioPlus","Furniture & Decor","","","","","","","Chrome","","","","","Chrome","","","","","","","","","","","","","","","","","PA1636441","","","","","","","",
"255483857708","ZX9TPNTD237810","PatioPlus","Furniture & Decor","","","","","","","Chrome","","","","","Chrome","","","","","","","","","","","","","","","","","PA1629274","","","","","","","",
"265644528647","ZX9TPNTD237804","PatioPlus","Furniture & Decor","","","","","","","Chrome","","","","","Chrome","","","","","","","","","","","","","","","","","PA2046448","","","","","","","",
"255483894260","ZX9TPNTD239813","PerfectPatio","Furniture & Decor","Latch","","Latch","1","1","1","","","","","","","","","","","","","","","","","","","","","","","PE1634304","","","","","","","",
"255488768986","TPNTD241908","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5106102PRIV","","","","","","","",
"255483917678","TPNTD241911","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","Satin","","","","","","","","","","","","","","","","","5106150PASS","","","","","","","",
"255483747913","TPNTD241914","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5112102PASS","","","","","","","",
"255476946531","TPNTD241915","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5112102PRIV","","","","","","","",
"255483840027","TPNTD241916","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5113031PASS","","","","","","","",
"255483763127","TPNTD241918","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5125102PRIV","","","","","","","",
"265644604674","TPNTD241923","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","Satin","","","","","","","","","","","","","","","","","5161150PASS","","","","","","","",
"255488837781","TPNTD241926","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5162190PASS","","","","","","","",
"265634290083","TPNTD241940","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5173190PASS","","","","","","","",
"255488815932","TPNTD241965","Baldwin Estate","Furniture & Decor","","","","","","","","Square","","Left","","","","","","","","","","","","","","","","","","","5285150LENT","","","","","","","",
"255483782024","TPNTD243055","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L023190PRIV","","","","","","","",
"265644645171","TPNTD243058","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L029044PASS","","","","","","","",
"265639657416","TPNTD243059","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L029044PRIV","","","","","","","",
"265634305082","TPNTD243067","Baldwin Estate","Furniture & Decor","","","","","","","","Square","","","","","","","","","","","","","","","","","","","","","L029190PASS","","","","","","","",
"265639642456","TPNTD243068","Baldwin Estate","Furniture & Decor","","","","","","","","Square","","","","","","","","","","","","","","","","","","","","","L029190PRIV","","","","","","","",
"265644515864","TPNTD243071","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L029260PASS","","","","","","","",
"265634272549","TPNTD243074","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030031MR","","","","","","","",
"265639806741","TPNTD243075","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030044MR","","","","","","","",
"255483841141","TPNTD243076","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030055MR","","","","","","","",
"255488694048","TPNTD243077","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030056MR","","","","","","","",
"255554528353","TPNTD243078","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030102MR","","","","","","","",
"265634290648","TPNTD243079","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030112MR","","","","","","","",
"255483778215","TPNTD243080","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030150MR","","","","","","","",
"255488744968","TPNTD243081","Baldwin Estate","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L030190MR","","","","","","","",
"265644510757","TPNTD241613","Baldwin Prestige","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180TPEXTOLSLB11PS","","","","","","","",
"255483838665","TPNTD241614","Baldwin Prestige","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180TPEXTOLSLB15S","","","","","","","",
"255476989123","ZX9WLLCH7650","Marco Frio","Furniture & Decor","Barn Door","","","","","","Pine","","","","","Unfinished","","","","","","","","","","","","","","","","","MA2079444","","","","","","","",
"265644592284","ZX9ACHR139431","Camp USA","Furniture & Decor","","Electronic","Deadbolt","","","","Nickel","","","","","Nickel","","","","","","","","","","","","","","","","","CA1495243","","","","","","","",
"265639557804","ZX9HRWEX14961","Next2Nature","Furniture & Decor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NE322986","","","","","","","",
"265634254837","ZX9TPNTD239755","OpenSkies","Furniture & Decor","","","","","","","Chrome","","","","","Chrome","","","","","","","","","","","","","","","","","OP1633665","","","","","","","",
"265639682391","ACHR158213","Chamberlain","Furniture & Decor","Garage Door","","","","","","","","","","","","","","","","","","","","","","","","","","","","5036992","","","","","","","",
