Item Id,SKU,Type,Material,Style,Features,Color,Brand,Room,Number of Panels,Theme,Mounting,Country/Region of Manufacture,Pattern,Item Height,Item Length,Orientation,Department,Item Width,Additional Parts Required,MPN,Model,Item Weight,Custom Bundle,Care Instructions,Customized,Product Line,Bundle Description,California Prop 65 Warning,
"255488860049","ORE409","Decor","","Shoji","","","ORE INTERNATIONAL","","3","","","","","","","","","","","R5442","","","","","","","","",
"265695282164","ORE426","Decor","","Shoji","","","ORE INTERNATIONAL","","4","","","","","","","","","","","R5443-4","","","","","","","","",
"265684568011","ORE410","Decor","","Shoji","","","ORE INTERNATIONAL","","3","","","","","","","","","","","R5443","","","","","","","","",
"265684641084","ORE112","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R566","","","","","","","","",
"265669351995","ORE113","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R566-4","","","","","","","","",
"255534498919","ORE324","Decor","Bamboo","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R591-4","","","","","","","","",
"255513130646","ZX9SCRNGEM188","Decor","","","","","JaggedDesigns","","","","","","","","","","","","","JA788754","","","","","","","","",
"255528778224","ZX9SCRNGE1632","Decor","","","","","JaggedDesigns","","","","","","","","","","","","","JA685246","","","","","","","","",
"255541624761","ZX9SCRNGEM067","Decor","Pine","","","","JaggedDesigns","","","","","","","","","","","","","JA823087","","","","","","","","",
"265673982285","ZX9ORE424","Decor","","Shoji","","Black","ManMade","","4","","","","","","","","","","","MA106139","","","","","","","","",
"265897014784","ZX9ORE425","Decor","","Shoji","","","ManMade","","4","","","","","","","","","","","MA2629602","","","","","","","","",
"255513382778","ZX9ORE426","Decor","","Shoji","","","ManMade","","4","","","","","","","","","","","MA106140","","","","","","","","",
"255518172502","ZX9SCRNGEM416","Decor","","","","","JaggedDesigns","","","","","","","","","","","","","JA511013","","","","","","","","",
"265697797996","ZX9SCRNGEM204","Decor","","","","","JaggedDesigns","","","","","","","","","","","","","JA515953","","","","","","","","",
"265680093801","ZX9SCRNGEM094","Decor","","","","","JaggedDesigns","","","","","","","","","","","","","JA515947","","","","","","","","",
"265674071716","SCRNGEM162","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-102","","","","","","","","",
"255539219005","SCRNGEM163","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-103","","","","","","","","",
"265695140241","SCRNGEM215","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-108","","","","","","","","",
"255509831508","SCRNGEM216","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-109","","","","","","","","",
"255534581054","SCRNGE1641","Decor","","","","White","Screen Gems","","","","","","","","","","","","","SG-10A White","","","","","","","","",
"265679930576","SCRNGEM218","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-111","","","","","","","","",
"255513556271","SCRNGEM219","Decor","","","","","Screen Gems","","","Paris","","","","","","","","","","SG-112","","","","","","","","",
"265644776368","SCRNGEM187","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-113","","","","","","","","",
"255518133834","SCRNGEM220","Decor","","","","","Screen Gems","","","Skyline","","","","","","","","","","SG-114","","","","","","","","",
"265669055940","SCRNGEM221","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-115","","","","","","","","",
"255509750149","SCRNGEM175","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-116","","","","","","","","",
"255518004609","SCRNGEM188","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-118","","","","","","","","",
"255513127661","SCRNGEM177","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-119","","","","","","","","",
"265695181242","SCRNGEM178","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-120","","","","","","","","",
"265684717908","SCRNGEM184","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-126","","","","","","","","",
"255513551804","SCRNGEM185","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-127","","","","","","","","",
"265674153814","SCRNGEM198","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-129","","","","","","","","",
"255528834632","SCRNGEM199","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-130","","","","","","","","",
"255513373983","SCRNGEM189","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-131","","","","","","","","",
"255513111358","SCRNGEM190","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-132","","","","","","","","",
"265690483832","SCRNGEM191","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-133","","","","","","","","",
"265665582746","SCRNGEM192","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-134","","","","","","","","",
"265695284952","SCRNGEM194","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-136","","","","","","","","",
"255529041667","SCRNGEM195","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-137","","","","","","","","",
"265690541634","SCRNGEM197","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-139","","","","","","","","",
"265665632098","SCRNGEM200","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-140","","","","","","","","",
"255529054340","SCRNGEM201","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-141","","","","","","","","",
"255528797323","SCRNGEM202","Decor","","","","","Screen Gems","","","","","China","","","","","","","","SG-142","","","","","","","","",
"255524052486","SCRNGEM203","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-143","","","","","","","","",
"265679869080","SCRNGEM204","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-144","","","","","","","","",
"255488992325","SCRNGEM205","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-145","","","","","","","","",
"255518231766","SCRNGEM206","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-146","","","","","","","","",
"255539208077","SCRNGEM207","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-147","","","","","","","","",
"265680028712","SCRNGEM367","Decor","","","","","Screen Gems","","","","","","","","","","","","","SG-172","","","","","","","","",
