Item Id,SKU,Brand,Type,Features,Installation Area,Number in Pack,Power Source,Lighting Technology,Smart Home Compatibility,Number of Speeds,Bulb Wattage,Control Style,Color,Material,Energy Star,Mounting,Bulb Shape Code,Current Type,Power Consumption,Connectors,Item Weight,Finish,Smart Home Protocol,Personalize,Voltage,Compatible Brand,Personalized,Year Manufactured,Assembly Required,IP Rating,Model,Item Width,Compatible Product,Country/Region of Manufacture,Item Height,Item Length,MPN,EC Range,California Prop 65 Warning,Custom Bundle,Bundle Description,Compatible Model,LED Chip Code,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Theme,Personalization Instructions,
"255444395624","DBMRL9552","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM114-W","","","","","","","","","","","",
"265600130577","DBMRL9691","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM131-VG-FROST","","","","","","","","","","","",
"255440698845","DBMRL9690","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM131-W","","","","","","","","","","","",
"255444470745","DBMRL9689","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM131-W-FROST","","","","","","","","","","","",
"265603576151","DBMRL9688","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-B-FROST","","","","","","","","","","","",
"255444527677","DBMRL9687","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-BZ-FROST","","","","","","","","","","","",
"255444450408","DBMRL9686","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-B","","","","","","","","","","","",
"255440706404","DBMRL9692","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-B-FROST","","","","","","","","","","","",
"265603535902","DBMRL9697","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-BZ","","","","","","","","","","","",
"265603645684","DBMRL9696","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","F","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-BZ-FROST","","","","","","","","","","","",
"255444444320","DBMRL9695","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-VG","","","","","","","","","","","",
"265603543095","DBMRL9694","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","F","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-VG-FROST","","","","","","","","","","","",
"255444420921","DBMRL9693","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-W","","","","","","","","","","","",
"265603591294","DBMRL9698","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-LED16-W-FROST","","","","","","","","","","","",
"255444497022","DBMRL9703","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-VG-FROST","","","","","","","","","","","",
"265603583631","DBMRL9702","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM132-W-FROST","","","","","","","","","","","",
"265600133155","DBMRL9701","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-B","","","","","","","","","","","",
"265600141174","DBMRL9700","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM133-B-FROST","","","","","","","","","","","",
