Item Id,SKU,Type,Manufacturer,Lighting Technology,Brand,Product Line,Voltage,Suitable For,Color,Control Style,Light Color,Power Source,Bulb Shape Code,Energy Star,Mounting,Material,Amperage,IP Rating,Power Consumption,Item Height,Item Width,Lumens,Item Diameter,Item Length,Country/Region of Manufacture,Smart Home Protocol,LED Chip Code,MPN,Model,EC Range,Custom Bundle,Bundle Description,Assembly Required,Bulb Life Hours,California Prop 65 Warning,Color Temperature,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Required Tools,Smart Home Compatibility,
"265623450311","CNDRL9823","Outdoors","","","Outdoor Solutions","","","","","","","","","","","","","","","","","","","","","","","COVERCAPTAIN","","","","","","","","","","","","","",
"255464845605","PLMT033","Outdoors","","","Poolmats","","","","","","","","","","","","","","","","","","","","","","","67B00-00051","","","","","","","","","","","","","",
"255464809133","CNDRL993","Outdoors","Pentair","","Pentair Pool Products","","","","","","","","","","","","","","","","","","","","","","","250210200S","","","","","","","","","","","","","",
"265623448878","CNDRL0774","Outdoors","Pentair","","Pentair Pool Products","","","","","","","","","","","","","","","","","","","","","","","360100","","","","","","","","","","","","","",
"255464809825","CNDRL8883","Outdoors","Pentair","","Pentair Pool Products","","","","","","","","","","","","","","","","","","","","","","","475612","","","","","","","","","","","","","",
"255437765967","CNDRL8905","Outdoors","","","Perma-Cast","","","","","","","","","","","","","","","","","","","","","","","TN100","","","","","","","","","","","","","",
"255464836171","ZX9BSPS670","Outdoors","","","BallsBeyond","","","","","","","","","","","","","","","","","","","","","","","BA206130","","","","","","","","","","","","","",
"255464843980","CNDRL1149","Outdoors","","","POOLGUARD/PBM INDUSTRIES","","","","","","","","","","","","","","","","","","","","","","","PGRM2","","","","","","","","","","","","","",
"265628054905","ZX9BAYST15983","Outdoors","","","Powerhouse","","","","","","","","","","","","","","","","","","","","","","","PO1541801","","","","","","","","","","","","","",
"265623447186","ZX9SPPRT11335","Outdoors","","","Karuma Car Care","","","","","","","","","","","","","","","","","","","","","","","KA1413751","","","","","","","","","","","","","",
"265623443923","PLFX6532","Outdoors","","","Puyoung Industries","","","","","","","","","","","","","","","","","","","","","","","BB1636R","","","","","","","","","","","","","",
"255464857234","CNDRL1203","Outdoors","","","REGAL BELOIT AMERICA - EPC","","","","","","","","","","","","","","","","","","","","America","","","ST1102","","","","","","","","","","","","","",
"255464852134","CNDRL1225","Outdoors","","","REGAL BELOIT AMERICA - EPC","","","","","","","","","","","","","","","","","","","","America","","","USQ1152","","","","","","","","","","","","","",
"265623484934","BAYST15685","Outdoors","","","REGAL BELOIT AMERICA - EPC","","","","","","","","","","","","","","","","","","","","America","","","B2852","","","","","","","","","","","","","",
"255464810616","PLFX3537","Outdoors","","","Regal Beloit","","","","","","","","","","","","","","","","","","","","","","","B128","","","","","","","","","","","","","",
"265623477754","PLFX3540","Outdoors","","","Regal Beloit","","","","","","","","","","","","","","","","","","","","","","","B228SE","","","","","","","","","","","","","",
"265623463901","BAQP123031","Outdoors","","","Regal Beloit","","","","","","","","","","","","","","","","","","","","","","","B2847V1","","","","","","","","","","","","","",
"265623445709","ZX9PLFX4595","Outdoors","Pentair","","SlugFest Supplies","","","","Clear","","Clear","","","","","","","","","","","","","","","","","SL1605002","","","","","","","","","","","","","",
"265623477258","SPPRT9937","Outdoors","","","Spa Parts","","","","","","","","","","","","","","","","","","","","","","","SP3248-3","","","","","","","","","","","","","",
"265623454135","ZX9SPPRT14081","Outdoors","","","PerfectPitch","","","","","","","","","","","","","","","","","","","","","","","PE1891653","","","","","","","","","","","","","",
"265623476504","SPPRT3065","Outdoors","","","Sundance Spa","","","","","","","","","","","","","","","","","","","","","","","C3229-2A","","","","","","","","","","","","","",
"265623483962","PLFX4581","Outdoors","","","Superpro","","","","Clear","","Clear","","","","","","","","","","","","","","","","","PA81-PAK4 SPG","","","","","","","","","","","","","",
"255464816003","PLFX4593","Outdoors","Pentair","","Superpro","","","","Clear","","Clear","","","","","","","","","","","","","","","","","PCC105-PAK4 SPG","","","","","","","","","","","","","",
"265623470097","PLFX4595","Outdoors","Pentair","","Superpro","","","","Clear","","Clear","","","","","","","","","","","","","","","","","PCC80-PAK4 SPG","","","","","","","","","","","","","",
"265623445286","CNDRL0944","Outdoors","","","Swimline Corporation","","","","","","","","","","","","","","","","","","","","","","","RIG3050R","","","","","","","","","","","","","",
"255464834029","BAQP116136","Outdoors","","","Swimline","","","","","","","","","","","Stainless Steel","","","","","","","","","","","","SW87900","","","","","","","","","","","","","",
"255464826742","ZX9BAYST15479","Outdoors","","","PowerPLay","","","","","","","","","","","","","","","","","","","","","","","PO42534","","","","","","","","","","","","","",
"255464827489","SPPRT4031","Outdoors","","","Ultra Pure","","","","","","","","","","","","","","","","","","","","","","","1006520","","","","","","","","","","","","","",
"265623447855","SPPRT13523","Outdoors","","","Ultra Pure","","","","","","","","","","","","","","","","","","","","","","","1106593","","","","","","","","","","","","","",
"265623456084","WTRR317","Outdoors","","","Waterco","","","","","","","","","","","","","","","","","","","","","","","2260206NA","","","","","","","","","","","","","",
"265623473143","WTRR393","Outdoors","","","Waterco","","","","","","","","","","","","","","","","","","","","","","","29319","","","","","","","","","","","","","",
"265619672029","CNDRL1723","Outdoors","","","Waterway","","","","","","","","","","","","","","","","","","","","","","","2106040","","","","","","","","","","","","","",
"255437775556","CNDRL1723","Outdoors","","","Waterway","","","","","","","","","","","","","","","","","","","","","","","2106040","","","","","","","","","","","","","",
"255464845179","SPPRT13866","Outdoors","","","Waterway","","","","","","","","","","","","","","","","","","","","","","","321HF10-0150","","","","","","","","","","","","","",
"255464817293","SPPRT1033","Outdoors","","","Waterway Plastics","","","","","","","","","","","","","","","","","","","","","","","300-9000","","","","","","","","","","","","","",
"265623457538","BAQP50740","Outdoors","","","WGCOMP","","","","","","","","","","","","","","","","","","","","","","","S87R11120","","","","","","","","","","","","","",
