Item Id,SKU,Brand,Filtration Technology,Model,Number of Cleaning Stages,Application,Features,Type,Color,Number of Speeds,Power Source,Contaminants Captured,Voltage,Room,Control Style,Year Manufactured,Mounting,Filter Life,Smart Home Protocol,Smart Home Compatibility,Coverage,Humidification Method,Country/Region of Manufacture,Power,Material,Item Depth,Clean Air Delivery Rating (CADR),Sensor Technology,Item Width,Manufacturer Warranty,Finish,Item Weight,Item Height,Timer Control,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Operating Sound Rating,
"265731466658","MAS856","SHARP","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","KC860U","","","","",
"255576726958","SUPN1952","SPT","Ionizer","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","AC-2062GA","","","","",
"255576641411","SUPN1876","SPT","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","AC-2102A","","","","",
"255576654857","SUPN1879","SPT","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","AC-3037A","","","","",
"265731525329","SUPN1880","SPT","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","AC-9966A","","","","",
"255463052564","SUPN432","SPT","Activated Carbon","Sunpentown AC-2221","3","","Timer,Automatic Shut Off,Portable","Air Quality","White","4","Electrical,Battery","Odors,Dust,Mold,Bacteria,Pollen,Chemicals","240 V","","Digital","","","","","","","","","","","16 in","","","16 in","","","14 lb","16 in","","AC2221","","","","",
"265731485423","SUPN492","Sunpentown","","Sunpentown AC-9966","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","AC-9966","","","","",
"255463064756","SSN57828","TimeMist","","","","","","Air Quality","Black","","","","","","","","","","","","","","","","","","","","","","","","","","1047825","","","","",
"265621707998","SPRCH96975","Trusens","","","","","","Air Quality","White","","","","","","","","","","","","","","","","","","","","","","","","","","TNSZ1000AP","","","","",
"255463034422","XPRM03302","XPOWER Manufacture","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","BR-18L","","","","",
"255576685102","XPRM03301","XPOWER Manufacture","","","3","","","Air Quality","","3","","","","","","","","","","","","","","","","","","","","","","","","","BR-292A","","","","",
"265621671134","XPRM03303","XPOWER Manufacture","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","BR-430","","","","",
"265731530086","XPRM03305","XPOWER Manufacture","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","BR-450","","","","",
"265731527171","XPRM03307","XPOWER Manufacture","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","BR-460","","","","",
"255576695848","XPRM03308","XPOWER Manufacture","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","BR-460L","","","","",
"265731477323","XPRM4342","Xpower","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","XL-760AM","","","","",
