Item Id,SKU,Brand,Material,Color,Style,Type,Room,Occasion,Theme,Character Family,Character,Department,Country/Region of Manufacture,Origin,Orientation,Vintage,MPN,Personalize,Additional Parts Required,Battery Type,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Height,Item Length,Item Weight,Item Width,Model,Product Line,Personalization Instructions,
"255483935857","KAY095","Kay Berry Inc","","","","Furniture & Decor","","","","","","","","","","","35320","","","","","","","","","","","","","","","",
"265639572327","KAY099","Kay Berry Inc","","","","Furniture & Decor","","","","","","","","","","","35720","","","","","","","","","29 in","","","29 in","","","",
"255488693815","KAY100","Kay Berry Inc","","","","Furniture & Decor","","","","","","","","","","","35820","","","","","","","","","","","","","","","",
"265634255544","KAY105","Kay Berry Inc","","","","Furniture & Decor","","","","","","","","","","","36520","","","","","","","","","","","","","","","",
"255476928308","KAY107","Kay Berry Inc","","","","Furniture & Decor","","","","","","","","","","","36720","","","","","","","","","29 in","","","29 in","","","",
"265639776010","KAY111","Kay Berry Inc","","","","Furniture & Decor","","","","Angel","","","","","","","37120","","","","","","","","","","","","","","","",
"255489106166","KRAS240","Kraus","","","","Decor","Kitchen","","","","","","","","","","KHU101-23","","","","","","","","","","","","","","","",
"255534746303","KRAS242","Kraus","","","","Decor","","","","","Steel","","","","","","KHU123-32","","","","","","","","","","","","","","","",
"265695289146","BSTWC17089","Lacrosse","Metal","","Decorative","Home Decor","","","","","","","","","","","704-4671","","","","","","","","","","","","","","","",
"265690756298","TRVAL57946","Lozier Store Fixtures","","","","Decor","","","","","","","","","","","195345","","","","","","","","","","","","","","","",
"265690472609","TRVAL57958","Lozier Store Fixtures","","","","Decor","","","","","","","","","","","115404","","","","","","","","","","","","","","","",
"255539059546","CW64546","Magma","","","","Storage","","","","","","","","","","","R10-1002-64","","","","","","","","","","","","","","","",
"265695170451","TRVAL68173","Master Gardner","Fabric","","","Decor","","","","","","","","","Vertical","","191943","","","","","","","","","","","","","","","",
"255483952316","ACHR149467","MEADOWCREEK","","","","Furniture & Decor","","","","","","","","","","","8029461","","","","","","","","","","","","","","","",
"255483814520","ACHR155471","MEADOWCREEK","Glass","","Decorative","Furniture & Decor","","","","","","","","","","","8053009","","","","","","","","","","","","","","","",
"265695250085","MLRS7158","Melrose International","Metal","","","Home Decor","","","","","","","","","","","66394","","","","","","","","","","","","","","","",
"265887767366","MLRS7320","Melrose International","Wood","","","Home Decor","","","","","","","","","","","69614","","","","","","","","","","","","","","","",
"265669255348","MLRS8103","Melrose International","","Brown","","Home Decor","","","","","","","","","","","81127","","","","","","","","","","","","","","","",
"255528841773","MLRS8487","Melrose International","Glass","","","Home Decor","","","","","","","","","","","82075","","","","","","","","","","","","","","","",
"255513574579","MKBSR0484","Monkey Bars","","","","Storage","","","","","","","","","","","08009","","","","","","","","","","","","","","","",
"255483787210","BUYS109141","Morbid","","","","Furniture & Decor","","","","","Phantom","","","","","","413617","","","","","","","","","","","","","","","",
"265897046696","ZX9OCNTR38072","PalaceDesigns","Wood","","","Home Decor","","","Nautical","","","","","","","","PA2627307","","","","","","","","","","","","","","","",
"265887827809","ZX9TRVAL64314","StandAlone","","","","Decor","","","","","","","","","","","ST2671406","","","","","","","","","","","","","","","",
"255541736695","OMHC1707","Old Modern Handicrafts","","","Modern","Home Decor","","","","","","","","","","","P096","","","","","","","","","","","","","","","",
"265644741600","PRMCP1564","Premier Copper Products","","","","Decor","Bathroom","","","","","","","","","","LO19FKOIDB","","","","","","","","","","","","","","","",
"255728899038","PRGFT26173","Progressive Furniture","","","","Storage","","","","","","","","","","","A188-39","","","","","","","","","","","","","","","",
"265695277526","QKWY030","Quickway Imports","","","Antique","Storage","","","","","","","","","","","QI003042L","","","","","","","","","","","","","","","",
"255488759547","REDC1773","Red Carpet Studios","","Red","","Furniture & Decor","","","","","","","","","","","34417","","","","","","","","","","","","","","","",
"265698061171","RSST1672","Rosseto","Bamboo","","","Decor","","","","","","","","","","","BD149","","","","","","","","","","","","","","","",
"255724932313","SFC500","Safco","Wood","","","Storage","","","","","","","","","","","4330MH","","","","","","","","","","","","","","","",
"265896944727","SFC502","Safco","Wood","","","Storage","","","","","","","","","","","4331MH","","","","","","","","","","","","","","","",
"255528965507","SFC715","Safco","","Clear","","Storage","","","","","","","","","","","5600CL","","","","","","","","","","","","","","","",
"255737827261","SFC716","Safco","","Clear","","Storage","","","","","","","","","","","5601CL","","","","","","","","","","","","","","","",
"255528944478","SFC717","Safco","","Clear","","Storage","","","","","","","","","","","5602CL","","","","","","","","","","","","","","","",
"265679849939","SFC719","Safco","","Clear","","Storage","","","","","","","","","","","5604CL","","","","","","","","","","","","","","","",
"255513416263","SFC747","Safco","","Clear","","Storage","","","","","","","","","","","5667CL","","","","","","","","","","","","","","","",
"265669427995","SFC896","Safco","","","","Storage","","","","","","","","","","","7111MO","","","","","","","","","","","","","","","",
"265697785252","SFC900","Safco","","","","Storage","","","","","","","","","","","7121MO","","","","","","","","","","","","","","","",
"265883988034","ZX9SNAG1069","Perspectiva","","","","Storage","","","","","","","","","","","PE2486358","","","","","","","","","","","","","","","",
"265690738058","SPIHM3244","SPI Home","","","","Decor","","","","","","","","","","","21000","","","","","","","","","","","","","","","",
"255541724902","SPIHM3245","SPI Home","","","","Decor","","","","","","","","","","","21001","","","","","","","","","","","","","","","",
"265639804722","SPIHM3216","SPI Home","","","","Furniture & Decor","","","","","Dolphin","","","","","","51083","","","","","","","","","","","","","","","",
"265644596858","SPIHM3218","SPI Home","","","","Furniture & Decor","","","","","Dolphin","","","","","","51085","","","","","","","","","","","","","","","",
"255739414884","SPIHM1349","SPI Home- San Pacific Intl","","","","Furniture & Decor","","","","","","","","","","","50900","","","","","","","","","","","","","","","",
"255488971049","SNAG1072","Stoneman Avenue","","","","Storage","","","","","","","","","","","G-63L","","","","","","","","","","","","","","","",
"255725157246","ZX9WYBN2245","Foyer Supplies","","White","","Storage","","","","","","","","","","","FO2690457","","","","","","","","","","","","","","","",
"255738438415","ZX9PRGFT26173","Homeric","","","","Storage","","","","","","","","","","","HO2637236","","","","","","","","","","","","","","","",
"265690527136","ZX9WYBN883","Work-of-Art","","","","Storage","","","","","","","","","","","WO145219","","","","","","","","","","","","","","","",
"265669340377","HDSRBR23641","US Futaba","","Black","","Decor","","","","","","","","","","","UF77224.51.008","","","","","","","","","","","","","","","",
"255575036148","ZX9SFC894","Work-of-Art","","Black","","Storage","","","","","","","","","","","WO504236","","","","","","","","","","","","","","","",
"265665497404","ZX9SFC900","Work-of-Art","","","","Storage","","","","","","","","","","","WO685501","","","","","","","","","","","","","","","",
"255575054771","QKWY2298","Vintiquewise","","","","Storage","","","","","","","","","","","QI003332","","","","","","","","","","","","","","","",
"255523971530","QKWY2355","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003451","","","","","","","","","","","","","","","",
"265695164934","QKWY1803","Vintiquewise","","","","Storage","","","","","","","","","","","QI003512L","","","","","","","","","","","","","","","",
"265690705953","QKWY1639","Vintiquewise","","","","Storage","","","","","","","","","","","QI003764","","","","","","","","","","","","","","","",
"265690794681","QKWY1660","Vintiquewise","Faux Leather","","","Storage","","","","","","","","","","","QI003796.BN","","","","","","","","","","","","","","","",
"265695284709","QKWY1975","Vintiquewise","Faux Leather","","","Storage","","","","","","","","","","","QI003796.SI","","","","","","","","","","","","","","","",
"255538979763","QKWY1667","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003803.2","","","","","","","","","","","","","","","",
"265695293035","QKWY1668","Vintiquewise","","","Decorative","Storage","","","","","","","","","","","QI003804L","","","","","","","","","","","","","","","",
"255534580075","QKWY2126","Vintiquewise","","","","Storage","","","","","","","","","","","QI003943.L","","","","","","","","","","","","","","","",
"255725261348","QKWY1252","Vintiquewise","","","","Storage","","","","","","","","","","","QI003979.2","","","","","","","","","","","","","","","",
"265680096487","QKWY1253","Vintiquewise","Faux Leather","","","Storage","","","","","","","","","","","QI003980.3","","","","","","","","","","","","","","","",
