Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"265669307213","JECO5063","Decor","Jeco","","","","","","Purple","","","","","","","","","","","","","","CEZ-096_12","","","","","","","",
"265695160505","JECO5064","Decor","Jeco","","","","","","Red","","","","","","","","","","","","","","CEZ-097_12","","","","","","","",
"255541626064","JECO5054","Decor","Jeco","","","","","","Pink","","","","","","","","","","","","","","CEZ-098_12","","","","","","","",
"255541591859","JECO5058","Decor","Jeco","Rose","","Rose","","","","","","","","","","","","","","","","","CEZ-099_12","","","","","","","",
"255518136267","JECO5055","Decor","Jeco","","","","","","Green","","","","","","","","","","","","","","CEZ-101_12","","","","","","","",
"265695255420","JECO5052","Decor","Jeco","","","","","","Black","","","","","","","","","","","","","","CEZ-103_12","","","","","","","",
"265695135838","JECO5061","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CEZ-104_12","","","","","","","",
"265884013761","JECO5059","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CEZ-105_12","","","","","","","",
"265690737762","JECO4418","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CEZ-107_12","","","","","","","",
"265669339004","JECO5060","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CEZ-108_12","","","","","","","",
"265644901535","JECO5175","Decor","Jeco","","","","","","White","","","","","","","","","","","","","","CFZ-001_6","","","","","","","",
"265644709023","JECO4984","Decor","Jeco","","","","","","Yellow","","","","","","","","","","","","","","CFZ-005_6","","","","","","","",
"255509741450","JECO4985","Decor","Jeco","","","","","","Red","","","","","","","","","","","","","","CFZ-007_6","","","","","","","",
"255489029021","JECO4988","Decor","Jeco","","","","","","","","","","","","","","","","","","","","CFZ-012_6","","","","","","","",
"265644844985","JECO4989","Decor","Jeco","","","","","","Blue","","","","","","","","","","","","","","CFZ-013_6","","","","","","","",
"265665496881","JECO4995","Decor","Jeco","","","","","","Black","","","","","","","","","","","","","","CFZ-020_6","","","","","","","",
"255518002131","JECO5103","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CFZ-021_12","","","","","","","",
"265644740131","JECO4996","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CFZ-021_6","","","","","","","",
"255518159784","JECO5115","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CFZ-022_12","","","","","","","",
