Item Id,SKU,Type,Brand,Material,Frame Material,Color,Number of Vents,Item Width,Number of Pieces,Features,Item Depth,Country/Region of Manufacture,Item Height,Shape,Style,Door Width,Base Included,Fixings Supplied,Manufacturer Warranty,Door Height,MPN,Assembly Required,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"255488832395","RVNI157","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-55","","","","","",
"265639635147","RVNI158","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-63","","","","","",
"255488705727","RVNI159","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-73","","","","","",
"255483742131","RVNI160","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-80","","","","","",
"255483828594","RVNI161","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-30","","","","","",
"255483861722","RVNI162","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-47","","","","","",
"265639756093","RVNI163","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-55","","","","","",
"265639722211","RVNI164","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-63","","","","","",
"265639658142","RVNI165","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-73","","","","","",
"265644474885","RVNI166","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1230-80","","","","","",
"265644613587","RVNI095","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-30","","","","","",
"255488808039","RVNI096","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-47","","","","","",
"255488747504","RVNI097","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-55","","","","","",
"265639779667","RVNI098","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-63","","","","","",
"255483908446","RVNI099","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-73","","","","","",
"265644477552","RVNI100","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC820-80","","","","","",
"265644618855","RVNI101","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-30","","","","","",
"255488649110","RVNI102","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-47","","","","","",
"265639731901","RVNI103","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-55","","","","","",
"265639669037","RVNI104","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-63","","","","","",
"265639563317","RVNI105","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-73","","","","","",
"255488771074","RVNI106","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","SC825-80","","","","","",
"265639508272","RVNI021","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-12-SC","","","","","",
