Item Id,SKU,Type,Fuel Type,Indoor/Outdoor,Items included,Shape,Brand,Material,Size,Color,Cooking Area Width,Finish,Cooking Area Length,Item Height,Mounting,Item Width,Item Diameter,Item Depth,Style,Features,Country/Region of Manufacture,Year Manufactured,Required Tools,Assembly Required,Item Weight,Manufacturer Warranty,MPN,Model,California Prop 65 Warning,Custom Bundle,Bundle Description,Power,
"265644489877","ZX9CRNN097","Firepits & Outdoor Fireplaces","Wood","","","","GreenGrass","Stainless Steel","","","","","","","","","","","","","","","","","","","GR1725154","","","","","",
"255483648583","ACHR154967","Firepits & Outdoor Fireplaces","Wood","","","Round","Living Accents","Stainless Steel","","","","","","","","","","","","","","","","","","","4003578","","","","","",
"255488837249","ACHR155531","Firepits & Outdoor Fireplaces","Wood","","","Square","Living Accents","Steel","","","","","","","","","","","","","","","","","","","4003579","","","","","",
"265644615381","ACHR152198","Firepits & Outdoor Fireplaces","Propane","","","Square","Living Accents","","","","","","","","","","","","","","","","","","","","4794053","","","","","",
"265639544803","ACHR147073","Firepits & Outdoor Fireplaces","Wood","","","Square","Living Accents","Steel","","","","","","","","","","","","","","","","","","","4903852","","","","","",
"255476911651","ZX9UNIF674","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","GrillTown","","","","","Slate","","","","","","","","","","","","","","","GR139884","","","","","",
"255483896588","ZX9UNIF705","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","GrillTown","Steel","","","","","","","","","","","","","","","","","","","GR30847","","","","","",
"255483939980","ZX9UNIFL009","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","PatioPlus","","","","","","","","","","","","","","","","","","","","PA30849","","","","","",
"255488717136","ZX9PTN029","Firepits & Outdoor Fireplaces","","","","","PatioPlus","","","","","","","","","","","","","","","","","","","","PA808950","","","","","",
"265644504103","ALMO13724","Firepits & Outdoor Fireplaces","","Outdoor","","","Mod Furniture","Metal","","Black","","","","","","","","","","","","","","","","","FLAME1PCFP","","","","","",
"255483769765","ALMO13726","Firepits & Outdoor Fireplaces","","Outdoor","","","Mod Furniture","Steel","","","","","","","","","","","","","","","","","","","HARPER1PCFP","","","","","",
"265644559956","ALMO13727","Firepits & Outdoor Fireplaces","","Outdoor","","","Mod Furniture","Steel","","","","","","","","","","","","","","","","","","","HEATSIDE1PCFP","","","","","",
"265644644375","ZX9UNIF644","Firepits & Outdoor Fireplaces","","Outdoor","","","GrillTown","","","","","Bronze","","","","","","","","","","","","","","","GR139874","","","","","",
"255483799160","ZX9UNIF616","Firepits & Outdoor Fireplaces","","Outdoor","","","GrillTown","","","","","Bronze","","","","","","","","","","","","","","","GR139870","","","","","",
"255476988670","AMFN1919","Firepits & Outdoor Fireplaces","","Outdoor","","Square","Outdoor Leisure","Steel","","","","","","","","","","","","","","","","","","","5501","","","","","",
"255488770959","PTN092","Firepits & Outdoor Fireplaces","","","","","Patina","","","","","","","","","","","","","","","","","","","","F128","","","","","",
"265644628435","PTPR001","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F100","","","","","",
"265639673592","PTPR002","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F101","","","","","",
"255488752572","PTN028","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F102","","","","","",
"265639698472","PTPR004","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F104","","","","","",
"255483949567","PTPR010","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F110","","","","","",
"255488733086","PTPR012","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F112","","","","","",
"255488691285","PTPR013","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F113","","","","","",
"255476971966","PTPR016","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F116","","","","","",
"255476971760","PTPR017","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F117","","","","","",
"255476968330","PTN029","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F120","","","","","",
"255476952863","PTN030","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F124","","","","","",
"255476947097","PTN033","Firepits & Outdoor Fireplaces","","","","","Patina Products","","","","","","","","","","","","","","","","","","","","F203","","","","","",
