Item Id,SKU,Type,Application,Finish,Material,Brand,Color,Number in Pack,Item Height,Item Width,Style,Year Manufactured,Room,Item Depth,Item Weight,Shape,Power Source,Features,Model,Custom Bundle,Country/Region of Manufacture,Bundle Description,MPN,California Prop 65 Warning,Power,
"265697998868","CGP1396030","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","CHB-18/20","","",
"265897201478","ZX9CGP1396040","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL2207576","","",
"265896979075","ZX9CGP1396053","Fireplaces","","","","Flowers First","","","","","","","","","","","","","","","","","FL2541311","","",
"265883821245","ZX9CGP1396279","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL2541314","","",
"255728615856","ZX9CGP1396043","Fireplaces","","","Birch","Flowers First","","","","","","","","","","","","","","","","","FL2541310","","",
"265883873172","ZX9CGP1396070","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL2099614","","",
"255737696224","ZX9CGP1396278","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL2207577","","",
"265697890261","CGP1396029","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHAS-24","","",
"265690809908","CGP1396033","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","CHD-18/20","","",
"265690554816","CGP1396034","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHD-30","","",
"255509831154","CGP1396039","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHFR-30","","",
"265644739983","CGP1396050","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","ECV-24","","",
"265690523087","CGP1396051","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","ECV-30","","",
"255513387701","CGP1396298","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","ENO-24","","",
"255513180211","CGP1396021","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","CDR-24","","",
"255518232114","CGP1396285","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHA0-24","","",
"265673969556","CGP1396028","Fireplaces","","","","Cunningham Gas Products","","16","","","","","","","","","","","","","","","CHAS-16/18","","",
"255509721004","CGP1396283","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHAS-30","","",
"255534504392","CGP1396278","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHB-30T","","",
"255541627856","CGP1396037","Fireplaces","","","Oak","Cunningham Gas Products","","16","","","","","","","","","","","","","","","CHFR-16/18","","",
"255541634475","CGP1396040","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHGO-24T","","",
"255541700271","CGP1396042","Fireplaces","","","Birch","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHMBW-24","","",
"255524191771","CGP1396043","Fireplaces","","","Birch","Cunningham Gas Products","","","","","","","","","","","","","","","","","CHMBW-30","","",
"255513224084","CGP1396069","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","CHRRSO-18/20","","",
"255724994749","CGP1396052","Fireplaces","","","","Cunningham Gas Products","","16","","","","","","","","","","","","","","","EFV-16/18","","",
"255509962276","CGP1396053","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","EFV-24","","",
"255737699299","CGP1396054","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","EFV-30","","",
"255488981101","CGP1396061","Fireplaces","","","","Cunningham Gas Products","","","","","","","","","","","","","","","","","EPK1P","","",
"255509688784","CGP1396221","Fireplaces","","","Birch","Cunningham Gas Products","","18","","","","","","","","","","","","","","","MBW-18","","",
"255534697482","CGP1396223","Fireplaces","","","Birch","Cunningham Gas Products","","","","","","","","","","","","","","","","","MBW-30","","",
"265700956776","CGP1396229","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","PO-18","","",
"265679903290","CGP1396231","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","PO-24","","",
"265697913506","CGP1396233","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","R-18","","",
"265684757977","CGP1396279","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","R-24","","",
"265669245152","CGP1396261","Fireplaces","","","Oak","Cunningham Gas Products","","20","","","","","","","","","","","","","","","RD9-20","","",
"265695199640","CGP1396235","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","RDP-18","","",
"265669109267","CGP1396236","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","RDP-24","","",
"255737753740","CGP1396237","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","RDP-30","","",
"265673964596","CGP1396239","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","RRSO-18","","",
"265695140075","CGP1396240","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","RRSO-24","","",
"255725247386","CGP1396241","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","RRSO-30","","",
"255575117853","CGP1396242","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","S-18","","",
"265684733990","CGP1396244","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","S-24","","",
"265706877000","CGP1396245","Fireplaces","","","Oak","Cunningham Gas Products","","20","","","","","","","","","","","","","","","S9-20","","",
"255513226175","CGP1396246","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","S9-24","","",
"265690590982","CGP1396251","Fireplaces","","","Oak","Cunningham Gas Products","","18","","","","","","","","","","","","","","","SDP-18","","",
"265669340096","CGP1396252","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","SDP-24","","",
"265883971736","CGP1396253","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","SDP-30","","",
"265684831941","CGP1396297","Fireplaces","","","Oak","Cunningham Gas Products","","16","","","","","","","","","","","","","","","VO8E-16","","",
"265669426512","CGP1396264","Fireplaces","","","Oak","Cunningham Gas Products","","","","","","","","","","","","","","","","","VO8E-24","","",
"255524036758","CGP1396265","Fireplaces","","","","Cunningham Gas Products","","15","","","","","","","","","","","","","","","VR2A","","",
"255539075262","CGP1396268","Fireplaces","","","Birch","Cunningham Gas Products","White","18","","","","","","","","","","","","","","","W-18","","",
"265684697441","CGP1396269","Fireplaces","","","Birch","Cunningham Gas Products","White","","","","","","","","","","","","","","","","W-24","","",
"265680104641","CGP1396273","Fireplaces","","","","Cunningham Gas Products","","18","","","Western","","","","","","","","","","","","WCF-18","","",
"255518285338","CGP1396282","Fireplaces","","","","Cunningham Gas Products","","","","","Western","","","","","","","","","","","","WCF-24","","",
"265674153238","ZX9RMHD836","Fireplaces","","","Oak","BluePrints","","","","","","","","","","","","","","","","","BL1615800","","",
"255509973414","ZX9KGSM345","Fireplaces","","","Oak","Esfera","","","","","","","","","","","","","","","","","ES1812806","","",
"265669368323","ZX9KGSM333","Fireplaces","","","Oak","Esfera","","","","","","","","","","","","","","","","","ES1797573","","",
"255541688651","ZX9CUIC5474","Fireplaces","","Ceramic","Ceramic","Mobiliario","","","","","Traditional","","","","","","","","","","","","MO2088832","","",
"265674185497","RMHDRL471","Fireplaces","","","Oak","Tretco","","","","","","","","","","","","","","","","","GF-CA-30","","",
"255728728902","ZX9CUIC10286","Fireplaces","","Ceramic","Ceramic","Vecindario","","17","","","","","","","","","","","","","","","VE1718707","","",
"255728716931","ZX9CUIC10288","Fireplaces","","Ceramic","Ceramic","Vecindario","","8","","","","","","","","","","","","","","","VE2107176","","",
"265690626255","TRVAL73574","Fireplaces","","","","World Marketing","","18","","","","","","","","","","","","","","","195319","","",
"265669327187","TRVAL73580","Fireplaces","","","","World Marketing","","","","","","","","","","","","","","","","","195320","","",
