Item Id,SKU,Type,Sensor Type,Style,Brand,Room,Lighting Technology,Material,Number of Settings,Finish,Color,Cord Color,Light Color,Shade Shape,Power Source,Features,Installation Area,Manufacturer,Voltage,IP Rating,Theme,Pattern,Item Diameter,Energy Star,Number of Lights,Year Manufactured,Occasion,Country/Region of Manufacture,Amperage,Light Direction,Output Voltage,Department,Personalized,LED Chip Code,Color Temperature,Assembly Required,Era,Labels & Certifications,Lumens,Manufacturer Warranty,Power Consumption,Control Style,LED String/Strip Type,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Model,Number of Speeds,Product Line,
"265621875826","VXCL2963","Ceiling Lights","Light","","Vaxcel International","","","Bronze","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH35405RBZ/B","","","","","","","","","","","",
"265621870903","VXCL1811","Ceiling Lights","Light","","Vaxcel International","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H0169","","","","","","","","","","","",
"265621870736","VXCL3566","Ceiling Lights","Light","","Vaxcel International","","","Nickel","3","Satin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H0221","","","","","","","","","","","",
"255520838236","OCNTR18016","Ceiling Lights","Light","","Warehouse of Tiffany","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320323","","","","","","","","","","","",
"255463242843","OCNTR16239","Ceiling Lights","","","Warehouse of Tiffany","","","Chrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320334","","","","","","","","","","","",
"265676901366","OCNTR17599","Ceiling Lights","","","Warehouse of Tiffany","","","Crystal","","","","","","Round","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320400","","","","","","","","","","","",
"265676901128","OCNTR18022","Ceiling Lights","Light","","Warehouse of Tiffany","","","Fabric","5","","Black","Black","Black","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","","","320435","","","","","","","","","","","",
"255474922830","WTFHM0327","Ceiling Lights","Light","","Warehouse of Tiffany","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RL1014","","","","","","","","","","","",
"265621883343","WTFHM0343","Ceiling Lights","","","Warehouse of Tiffany","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RL1022","","","","","","","","","","","",
"265621876545","WTFHM0452","Ceiling Lights","","","Warehouse of Tiffany","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RL7936-4W","","","","","","","","","","","",
"255463231392","WTF287","Ceiling Lights","","","Warehouse of Tiffany","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RL9688","","","","","","","","","","","",
