Item Id,SKU,Suitable For,Type,Features,Size,Brand,Material,Shape,Color,Personalized,Room,Country/Region of Manufacture,Pattern,MPN,Item Length,Item Width,Bundle Description,Custom Bundle,California Prop 65 Warning,
"255513042469","GTMY10456","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00081C1703A15","","","","","",
"255513473338","GTMY10457","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00081C1703A17","","","","","",
"255541768980","GTMY10458","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00081C1703A18","","","","","",
"265665571322","GTMY10460","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00081C1703A95","","","","","",
"265644657607","GTMY10466","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00082C0003A15","","","","","",
"265690721503","GTMY10477","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00083C0026A15","","","","","",
"255534482108","GTMY10478","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00083C0026A17","","","","","",
"265680164345","GTMY10481","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00083C0026A95","","","","","",
"255509899714","GTMY10487","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00084C0026A15","","","","","",
"265665332356","GTMY10488","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00084C0026A17","","","","","",
"265695147574","GTMY10489","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00084C0026A18","","","","","",
"255489078368","GTMY10491","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00084C0026A95","","","","","",
"255541606086","GTMY10497","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00085C1703A11","","","","","",
"265690796133","GTMY10498","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00085C1703A15","","","","","",
"265695300964","GTMY10499","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00085C1703A17","","","","","",
"255539199367","GTMY10500","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00085C1703A18","","","","","",
"265644757157","GTMY10502","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00085C1703A95","","","","","",
"265697979600","GTMY10508","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00086C0000A15","","","","","",
"265668949439","GTMY10509","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00086C0000A17","","","","","",
"255528836987","GTMY10510","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00086C0000A18","","","","","",
"255524039164","GTMY10518","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00087M1403A15","","","","","",
"265690697881","GTMY10519","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00087M1403A17","","","","","",
"255513146241","GTMY10522","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00087M1403A95","","","","","",
"255513217150","GTMY10528","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00088M0000A11","","","","","",
"255488898509","GTMY10529","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00088M0000A15","","","","","",
"265698002228","GTMY10530","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00088M0000A17","","","","","",
"255489120393","GTMY10531","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00088M0000A18","","","","","",
"265668950986","GTMY10533","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00088M0000A95","","","","","",
"255513419570","GTMY10910","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00089M0103A11","","","","","",
"255541742625","GTMY10911","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00089M0103A15","","","","","",
"265665535561","GTMY10912","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00089M0103A17","","","","","",
"255513041920","GTMY10913","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00089M0103A18","","","","","",
"265644653069","GTMY10915","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00089M0103A95","","","","","",
"255489021647","GTMY10922","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00090M0214A15","","","","","",
"265665468677","GTMY10923","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00090M0214A17","","","","","",
"265669445205","GTMY10924","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00090M0214A18","","","","","",
"255513406370","GTMY10931","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00091M0000A11","","","","","",
"255509967772","GTMY10932","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00091M0000A15","","","","","",
