Item Id,SKU,Color,Size,Brand,Type,Weave,Regional Design,Shape,Material,Production Technique,Room,Style,Pattern,Theme,Features,Pile Height,Country/Region of Manufacture,Item Width,Care Instructions,Pile Type,Department,Handmade,Personalize,Personalized,Era,Item Length,Time Period Manufactured,Original/Reproduction,Item Thickness,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"265665264544","ZX9GTMY9318","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1559092","","","","","",
"255539177632","ZX9GTMY9317","Green","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1550765","","","","","",
"255529069000","ZX9GTMY13582","Gold","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1550707","","","","","",
"265669088501","ZX9GTMY13615","Purple","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1550709","","","","","",
"265669173845","ZX9GTMY13001","Blue","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1557076","","","","","",
"255518240588","ZX9GTMY8990","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1624635","","","","","",
"255509669496","ZX9GTMY11356","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1550639","","","","","",
"265674026108","ZX9GTMY13010","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1553370","","","","","",
"255534523385","ZX9GTMY8973","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1556946","","","","","",
"255517998832","ZX9GTMY13020","","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1554744","","","","","",
"265669146305","ZX9GTMY11360","Gold","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1554698","","","","","",
"255539082936","ZX9GTMY13030","Green","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1550694","","","","","",
"255528965977","ZX9GTMY10818","","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1624507","","","","","",
"255528870599","ZX9GTMY14011","","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1557646","","","","","",
"265674171951","ZX9GTMY11370","Red","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1538979","","","","","",
"255513460610","ZX9GTMY8949","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1557148","","","","","",
"255513210531","ZX9GTMY12937","Brown","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1559031","","","","","",
"255518030240","ZX9GTMY12377","Purple","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1559017","","","","","",
"255541618984","ZX9GTMY12397","Red","","Micasa","Rugs","","Gabbeh","Rectangle","","Knotted","","","Solid","","","","","","","","","","","","","","","","","MI1552352","","","","","",
"255541705054","ZX9GTMY11965","Beige","","Micasa","Rugs","","","Rectangle","","Knotted","","Contemporary","","","","","","","","","","","","","","","","","","MI1552339","","","","","",
