Item Id,SKU,Material,Brand,Subject,Theme,Type,Style,Color,Size,Shape,Character Family,Character,Room,Country/Region of Manufacture,Mounting,Department,Personalize,Additional Parts Required,Features,Item Width,Item Height,Item Length,Glassmaking Technique,Battery Type,Finish,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Weight,Model,Product Line,Personalization Instructions,
"255517994443","EPAD2724","","Empire Art Direct","","","Decor","","","","","","","","","","","","","","","","","","","","PMOS-20101-3619","","","","","","","","","",
"255725046171","EPAD2726","","Empire Art Direct","","","Decor","","","","","","","","","","","","","","","","","","","","PMOS-20103-2815","","","","","","","","","",
"255728904354","EPAD2614","","Empire Art Direct","","","Decor","","","","","","","","","","","","","","","","","","","","PMOS-20104-1134","","","","","","","","","",
"255725278121","EPAD2727","","Empire Art Direct","","","Decor","","","","","","","","","","","","","","","","","","","","PMOS-20105-2028","","","","","","","","","",
"265669223190","EPAD2728","","Empire Art Direct","","","Decor","","","","","","","","","","","","","","","","","","","","PMOS-20106-2029","","","","","","","","","",
"265883952188","ZX9MRNP038","Bronze","DwellingDesigns","Eagle","","Decor","","","","","","","","","","","","","","","","","","","","DW2619762","","","","","","","","","",
"255728868214","ZX9SPIHM1322","","Wall-to-Wall","","","Decor","","","","","","","","","","","","","","","","","","","","WA2488195","","","","","","","","","",
"255725135195","ZX9SPIHM287","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2486410","","","","","","","","","",
"255737737600","ZX9SPIHM1357","","Wall-to-Wall","","","Decor","","","","","","","","","","","","","","","","","","","","WA2489731","","","","","","","","","",
"255737918745","ZX9SPIHM3076","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2480987","","","","","","","","","",
"255738017153","ZX9SPIHM2977","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2490946","","","","","","","","","",
"265897077684","ZX9SPIHM2971","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2486886","","","","","","","","","",
"265665557450","ZX9RTN21677","","StandAlone","Fish","","Decor","","Gold","Large","","","","","","","","","","","","","","","","","ST1624815","","","","","","","","","",
"255737720957","ZX9SPIHM1366","","Wall-to-Wall","","","Decor","","","","","","","","","","","","","","","","","","","","WA509795","","","","","","","","","",
